sample_id,case_id,image_path,annotation_id,bbox_x,bbox_y,bbox_w,bbox_h,patch_center_x,patch_center_y,label,label_name,scanner_model,lab_or_origin,tumor_type,species,resolution,domain_axis,domain_name,domain_id,center,magnification,split,negative_match_scope
002__002__ann6__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann6__y1.jpg,6,4397,191,50,50,4422,216,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann7__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann7__y1.jpg,7,1842,1558,50,50,1867,1583,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_domain_same_split
002__002__ann8__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann8__y0.jpg,8,3783,2346,50,50,3808,2371,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann9__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann9__y1.jpg,9,5319,3252,50,50,5344,3277,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_domain_same_split
003__003__ann21__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann21__y0.jpg,21,1851,731,50,50,1876,756,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann22__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann22__y1.jpg,22,2174,797,50,50,2199,822,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann23__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann23__y0.jpg,23,2682,648,50,50,2707,673,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann24__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann24__y0.jpg,24,1688,469,50,50,1713,494,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann25__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann25__y1.jpg,25,1076,396,50,50,1101,421,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann26__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann26__y1.jpg,26,1019,806,50,50,1044,831,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann27__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann27__y0.jpg,27,3799,562,50,50,3824,587,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann28__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann28__y0.jpg,28,4347,563,50,50,4372,588,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann29__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann29__y1.jpg,29,4863,431,50,50,4888,456,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann30__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann30__y1.jpg,30,994,1425,50,50,1019,1450,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann31__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann31__y1.jpg,31,1085,960,50,50,1110,985,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann32__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann32__y1.jpg,32,5300,2138,50,50,5325,2163,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann33__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann33__y0.jpg,33,4860,2109,50,50,4885,2134,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann34__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann34__y1.jpg,34,2615,3120,50,50,2640,3145,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann35__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann35__y0.jpg,35,3802,2957,50,50,3827,2982,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann37__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann37__y0.jpg,37,3418,3303,50,50,3443,3328,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann38__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann38__y0.jpg,38,3785,3857,50,50,3810,3882,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann39__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann39__y1.jpg,39,3909,3443,50,50,3934,3468,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann40__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann40__y1.jpg,40,3701,4248,50,50,3726,4273,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann41__y1,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann41__y1.jpg,41,3933,4539,50,50,3958,4564,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,positive_same_case
003__003__ann43__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann43__y0.jpg,43,4124,3922,50,50,4149,3947,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
003__003__ann44__y0,003,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/003__003__ann44__y0.jpg,44,4572,2956,50,50,4597,2981,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,val,same_case
004__004__ann46__y1,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann46__y1.jpg,46,2211,740,50,50,2236,765,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
004__004__ann48__y1,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann48__y1.jpg,48,349,307,50,50,374,332,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
004__004__ann49__y0,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann49__y0.jpg,49,584,744,50,50,609,769,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
004__004__ann50__y0,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann50__y0.jpg,50,4909,709,50,50,4934,734,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
004__004__ann60__y1,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann60__y1.jpg,60,4247,2827,50,50,4272,2852,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
004__004__ann63__y0,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann63__y0.jpg,63,4741,3689,50,50,4766,3714,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_domain_same_split
004__004__ann64__y0,004,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/004__004__ann64__y0.jpg,64,2116,2044.5,50,50,2141,2069.5,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
005__005__ann65__y1,005,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/005__005__ann65__y1.jpg,65,1475,2975,50,50,1500,3000,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
005__005__ann66__y1,005,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/005__005__ann66__y1.jpg,66,6448,2377,50,50,6473,2402,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
005__005__ann67__y0,005,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/005__005__ann67__y0.jpg,67,2943,3257,50,50,2968,3282,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
005__005__ann68__y1,005,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/005__005__ann68__y1.jpg,68,4595,3506,50,50,4620,3531,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_domain_same_split
005__005__ann69__y0,005,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/005__005__ann69__y0.jpg,69,3990,4975,50,50,4015,5000,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann70__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann70__y0.jpg,70,1631,385,50,50,1656,410,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann72__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann72__y0.jpg,72,780,229,50,50,805,254,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann78__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann78__y0.jpg,78,3628,759,50,50,3653,784,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann80__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann80__y1.jpg,80,679,1545,50,50,704,1570,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann81__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann81__y0.jpg,81,2927,1016,50,50,2952,1041,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann84__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann84__y1.jpg,84,720,1660,50,50,745,1685,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann90__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann90__y1.jpg,90,3173,3737,50,50,3198,3762,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann91__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann91__y1.jpg,91,4293,3167,50,50,4318,3192,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann92__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann92__y1.jpg,92,4414,3246,50,50,4439,3271,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann94__y1,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann94__y1.jpg,94,3923,4604,50,50,3948,4629,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,positive_same_case
006__006__ann96__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann96__y0.jpg,96,6487.5,4622.5,50,50,6512.5,4647.5,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
006__006__ann98__y0,006,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/006__006__ann98__y0.jpg,98,6912,269.5,50,50,6937,294.5,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,test,same_case
007__007__ann106__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann106__y1.jpg,106,2598,705,50,50,2623,730,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann107__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann107__y1.jpg,107,1794,628,50,50,1819,653,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann108__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann108__y1.jpg,108,1083,752,50,50,1108,777,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann109__y0,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann109__y0.jpg,109,250,120,50,50,275,145,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
007__007__ann110__y0,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann110__y0.jpg,110,124,761,50,50,149,786,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
007__007__ann111__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann111__y1.jpg,111,2894,324,50,50,2919,349,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann112__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann112__y1.jpg,112,3564,253,50,50,3589,278,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann113__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann113__y1.jpg,113,4205,225,50,50,4230,250,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann114__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann114__y1.jpg,114,6943,423,50,50,6968,448,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann115__y0,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann115__y0.jpg,115,916,931,50,50,941,956,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
007__007__ann116__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann116__y1.jpg,116,3735,1055,50,50,3760,1080,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
007__007__ann117__y0,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann117__y0.jpg,117,5219,922,50,50,5244,947,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
007__007__ann118__y1,007,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/007__007__ann118__y1.jpg,118,6223,796,50,50,6248,821,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
